group,test,baseline,candidate,unit,change_percent,decision
llamacpp_version,qwen35_08b_c1,81.80,81.73,completion_tok_s,-0.08,pass
llamacpp_version,qwen35_08b_c2,122.72,123.03,completion_tok_s,0.25,pass
llamacpp_version,qwen35_08b_c4,158.17,159.11,completion_tok_s,0.59,pass
llamacpp_version,qwen35_08b_c8,206.41,210.08,completion_tok_s,1.78,pass
vllm_version,qwen35_08b_c1,86.33,86.30,completion_tok_s,-0.04,pass
vllm_version,qwen35_08b_c2,150.71,151.85,completion_tok_s,0.76,pass
vllm_version,qwen35_08b_c4,250.84,247.43,completion_tok_s,-1.36,pass
vllm_version,qwen35_08b_c8,316.54,308.73,completion_tok_s,-2.47,pass
vllm_version,qwen35_122b_c1,10.2797,10.2493,completion_tok_s,-0.30,pass
vllm_version,qwen35_122b_c2,16.1031,16.0973,completion_tok_s,-0.04,pass
vllm_version,qwen35_122b_c1_ttft,1108.34,1115.43,ms,0.64,pass
vllm_version,qwen35_122b_c2_ttft,1608.19,1679.98,ms,4.46,pass_ci_overlap
deepseek_version,shallow_pp2048,145.333957,145.014252,tok_s,-0.22,pass
deepseek_version,shallow_tg64,14.130771,14.101392,tok_s,-0.21,pass
deepseek_version,d24576_pp2048,89.292888,88.384715,tok_s,-1.02,pass
deepseek_version,d24576_tg64,10.771528,10.766740,tok_s,-0.04,pass
deepseek_graphs,shallow_tg64_no_graphs_vs_graphs,10.353859,14.101392,tok_s,36.20,graphs_required
deepseek_graphs,d24576_tg64_no_graphs_vs_graphs,8.012488,10.766740,tok_s,34.37,graphs_required
lemonade_memory,retained_rss,399836,8448,KiB,-97.89,deploy_patched
lemonade_memory,synthetic_throughput,435.76,499.48,requests_s,14.62,deploy_patched
quantized_kv,q8_decode_d0,44.35,45.05,tok_s,1.56,experimental
quantized_kv,q8_decode_d16384,27.08,37.47,tok_s,38.37,experimental
quantized_kv,q8_decode_d32768,18.61,32.68,tok_s,75.60,experimental
quantized_kv,q8_decode_d65536,10.38,26.11,tok_s,151.54,experimental
bf16_pr26856,qwen36_35b_d32768_pp512,503.83,564.28,tok_s,12.00,experimental
bf16_pr26856,qwen36_35b_d32768_tg32,23.24,31.21,tok_s,34.29,experimental
bf16_pr26856,wikitext_perplexity_f32_vs_candidate_bf16,9.2320,9.2304,perplexity,-0.02,quality_pass
moe_pr21344,qwen35_35b_d32768_pp,572.58,510.64,tok_s,-10.82,reject
moe_pr21344,qwen35_35b_d32768_tg,31.43,18.20,tok_s,-42.09,reject
rocmfpx,qwen36_27b_shallow_pp,268.01,231.54,tok_s,-13.61,reject
rocmfpx,qwen36_27b_shallow_tg,9.350,9.399,tok_s,0.52,reject
mtp,qwen36_35b_completion,23.4425,27.3849,completion_tok_s,16.82,reject_output_diverged
dflash,humaneval_style_completion,10.30699,37.51466,completion_tok_s,263.98,reject_output_diverged
