model,serving_path,context_tokens,ready_seconds,api_check_seconds,http_status,validation
"Tiny test GGUF","Lemonade / ROCm 7.14",32768,0.714821,0.062932,200,"exact OK"
"Qwen3 Coder 30B-A3B Q4_K_S","Lemonade / ROCm 7.14",32768,7.324108,0.177455,200,"exact OK"
"Qwen3.5 122B-A10B split Q4_K_XL","Lemonade / ROCm 7.14",32768,38.210795,0.352341,200,"exact OK with thinking disabled for visible answer"
"DeepSeek V4 Flash 0731 ROCmFP3-MIX","Lemonade / Lucebox ROCm 7.14",32768,27.534710,0.847441,200,"exact OK"
"Qwen3.5 0.8B NPU2","FastFlowLM / NPU",,3.043780,0.509270,200,"exact OK"
"Qwen3.5 4B NPU2","FastFlowLM / NPU",,4.417189,1.309564,200,"exact OK"
"Qwen3.6 35B-A3B NPU2","FastFlowLM / NPU",,16.610625,2.865266,200,"exact OK"
"Phi-3.5 Mini production package","NPU prefill / GPU decode",4096,15.469583,20.599960,200,"exact OK when isolated"
"Qwen3.5 122B-A10B GPTQ Int4","vLLM / ROCm 7.14",,73.521924,0.504784,200,"exact OK"
"Superseded DeepSeek V4 Flash preview","Lucebox / ROCm 7.14",8192,32.706783,0.996852,200,"exact OK"
"Qwen3.5 0.8B Q4_K_XL","llama.cpp / ROCm 7.14",4096,1.550538,0.129681,200,"exact OK"
"Qwen3.5 2B Q4_K_XL","llama.cpp / ROCm 7.14",4096,1.552796,0.103751,200,"exact OK"
"Qwen3.5 4B Q4_K_XL","llama.cpp / ROCm 7.14",4096,2.062301,0.138743,200,"exact OK"
"Qwen3.5 9B Q4_K_XL","llama.cpp / ROCm 7.14",4096,3.447980,0.149477,200,"exact OK"
"Qwen3.5 27B Q4_K_XL","llama.cpp / ROCm 7.14",4096,10.189495,0.427098,200,"exact OK"
"Qwen3.5 35B-A3B Q4_K_XL","llama.cpp / ROCm 7.14",4096,8.829115,0.180423,200,"exact OK"
"Qwen3.5 397B-A17B IQ1_M","llama.cpp / ROCm 7.14",4096,66.067220,0.586028,200,"exact OK"
"Qwen3.5 122B-A10B consolidated Q4_K_XL","llama.cpp / ROCm 7.14",4096,35.573596,0.363848,200,"exact OK"
"Qwen3.5 0.8B F16","llama.cpp / ROCm 7.14",4096,1.546899,0.143412,200,"exact OK"
"Qwen3.5 0.8B BF16","llama.cpp / ROCm 7.14",4096,1.546858,0.114151,200,"exact OK"
"Qwen3 Coder 30B-A3B incomplete Hugging Face alias","Lemonade / ROCm 7.14",32768,0.417507,,,"load failed: ref present but weights absent"
