variant,metric,baseline,observed,change_percent,status,unit,notes
pr28011,512-class cold prefill,115.669307,95.139486,-17.748720,passed,tokens/s,"Median of two probes; 622 baseline tokens and 635 candidate tokens; first candidate probe includes cold-start cost"
pr28011,2048-class cold prefill,128.575315,117.602924,-8.533824,passed,tokens/s,"Median of two probes; 2305 baseline tokens and 2318 candidate tokens"
pr28011,8192-class cold prefill,121.289206,116.865525,-3.647218,passed,tokens/s,"Median of two probes; 9025 baseline tokens and 9038 candidate tokens"
pr28011,32768-class cold prefill,109.915651,105.841316,-3.706784,passed,tokens/s,"Median of two probes; 35908 baseline tokens and 35921 candidate tokens"
pr28011,decode,18.379544,17.731325,-3.526850,passed,tokens/s,"Median of four decode samples"
pr28011,two-slot uncached aggregate,18.793004,17.940812,-4.534624,passed,tokens/s,"Both exact marker responses passed"
pr28011,two-slot cached aggregate,25.921285,24.622689,-5.009767,passed,tokens/s,"Both exact marker responses passed and prefixes restored"
pr28011,20-cycle prompt cache,20,20,,passed,cycles,"All answers and cache hits passed"
pr28011,minimum MemAvailable,40.015541,44.281395,,observed,GiB,"Not treated as a performance improvement because page-cache state differed"
pr28011,peak GTT,70.182652,70.901711,1.024545,observed,GiB,"No memory guard fired"
pr28032,Vulkan TOP_K backend suite,,453,,passed,tests,"453 of 453 tests passed including large-k tie and multi-row cases"
pr28032,served throughput,,,,not-run,,"Model initialisation failed before health became ready"
pr28032,minimum MemAvailable before failure,,48.779613,,observed,GiB,"RADV then reported insufficient command-submission memory"
pr28032,peak GTT before failure,,71.376801,,observed,GiB,"The process ended with Vulkan device loss"
pr28032,production-profile availability,ready,device-lost,,failed,,"Rejected; no production promotion"
combined,combined backport,,,,not-run,,"Binary built, but deliberately not run after PR 28032 failed the prerequisite availability gate"
