article,subject,measurement,value,unit,notes
gmktec-evo-x3-hardware-bios-nvme-baseline,Lexar NQ790 4TB,sequential_read,7.00,GB/s,"1MiB blocks; QD32; 60 seconds"
gmktec-evo-x3-hardware-bios-nvme-baseline,Lexar NQ790 4TB,sequential_read_thermal_repeat,7.05,GB/s,"1MiB blocks; QD32; 60 seconds"
gmktec-evo-x3-hardware-bios-nvme-baseline,Lexar NQ790 4TB,sequential_write_first_64GiB,4.36,GB/s,"One 64GiB pass; not post-cache steady state"
gmktec-evo-x3-hardware-bios-nvme-baseline,DeepSeek GGUF,direct_read,6.95,GB/s,"102.32GB file; 14.72 seconds; storage-only lower bound"
llamacpp-vulkan-vs-rocm-strix-halo,Qwen3-Coder 30B-A3B Vulkan,prompt_processing_512,1115.30,tok/s,"Five-run control; llama.cpp b10216"
llamacpp-vulkan-vs-rocm-strix-halo,Qwen3-Coder 30B-A3B Vulkan,generation_128,97.73,tok/s,"Five-run control; llama.cpp b10216"
llamacpp-vulkan-vs-rocm-strix-halo,Qwen3-Coder 30B-A3B ROCm,prompt_processing_512,1344.65,tok/s,"50 repetitions; llama.cpp b10085"
llamacpp-vulkan-vs-rocm-strix-halo,Qwen3-Coder 30B-A3B ROCm,generation_128,73.65,tok/s,"50 repetitions; llama.cpp b10085"
finding-the-useful-quant-strix-halo,Qwen3.5 0.8B Q4_K_XL,generation_128,198.73,tok/s,"Same-host eight-model sweep"
finding-the-useful-quant-strix-halo,Qwen3.5 35B-A3B Q4_K_XL,generation_128,50.35,tok/s,"Same-host eight-model sweep"
finding-the-useful-quant-strix-halo,Qwen3.5 122B-A10B Q4_K_XL,generation_128,21.33,tok/s,"Same-host eight-model sweep"
finding-the-useful-quant-strix-halo,Qwen3.5 397B-A17B IQ1_M,generation_128,15.46,tok/s,"Different smaller batch settings; fit and throughput only"
qwen35-122b-256k-long-session-test,Qwen3.5 122B-A10B UD-Q4_K_XL,duration,6088,seconds,"262144-token slot; 260812-token measured prompt"
qwen35-122b-256k-long-session-test,Qwen3.5 122B-A10B UD-Q4_K_XL,requests,165,count,"All served from expected cache state"
qwen35-122b-256k-long-session-test,Qwen3.5 122B-A10B UD-Q4_K_XL,maximum_temperature,86,Celsius,"Bounded 101-minute soak"
qwen35-122b-256k-long-session-test,Lemonade API,retained_RSS_reduction,97.88,percent,"Synthetic no-op stress; combined allocator fix"
deepseek-v4-flash-0731-evox3-rocm,DeepSeek V4 Flash 0731 sparse four-expert,prompt_processing_32512,146.65,tok/s,"One fresh-process performance ceiling; rejected after repeat-instability"
deepseek-v4-flash-0731-evox3-rocm,DeepSeek V4 Flash 0731 exact production,prompt_processing_32512,17.62,tok/s,"Uncached; exact OK; repeat-stable profile"
deepseek-v4-flash-0731-evox3-rocm,DeepSeek V4 Flash 0731 exact production,soak_duration,4.09,hours,"Eight uncached 32K requests"
deepseek-v4-flash-0731-evox3-rocm,DeepSeek V4 Flash 0731 exact production,peak_temperature,73,Celsius,"Predefined abort threshold was 90C"
deepseek-v4-flash-0731-evox3-rocm,DeepSeek V4 Flash 0731 target,sha256,accabb4cb83cf180ce18e4c5c5bbc3901ef45e219578237b94692f69ef4541a6,hex,"Pinned target model"
deepseek-v4-flash-0731-evox3-rocm,DeepSeek 0731 DSpark draft,sha256,3fac348f2e9d555cc8cd10c529fdaebb623c9b669bf56ee12866da74244acced,hex,"Optional speculative-decoding artefact"
